customer_id,name,gender,age,region,join_date,grade
C000001,이연태,여,37,충청남도,2020-01-28,실버
C000002,이우소,여,28,부산광역시,2021-03-01,브론즈
C000003,김연태,남,31,전라남도,2023-03-08,브론즈
C000004,김윤호,여,22,세종특별자치시,2019-04-23,브론즈
C000005,이준유,남,20,서울특별시,2024-05-22,브론즈
C000006,이빈건,여,34,경상남도,2020-01-05,실버
C000007,조윤율,여,44,충청북도,2023-08-28,브론즈
C000008,오다재,남,50,충청남도,2022-08-25,브론즈
C000009,송서도,남,46,서울특별시,2024-01-06,실버
C000010,장도연,여,50,부산광역시,2023-08-02,브론즈
C000011,서호민,남,47,경기도,2022-01-19,VIP
C000012,박현유,여,47,경상남도,2023-06-22,브론즈
C000013,최율도,여,19,광주광역시,2021-01-18,브론즈
C000014,최린나,여,41,전북특별자치도,2022-06-15,브론즈
C000015,김건우,남,28,부산광역시,2024-05-31,브론즈
C000016,우재린,여,19,경기도,2019-07-03,골드
C000017,김나호,여,28,대구광역시,2021-02-07,VIP
C000018,김시린,남,56,서울특별시,2019-02-07,골드
C000019,최아영,남,46,전북특별자치도,2022-02-28,골드
C000020,이준원,남,50,광주광역시,2023-08-18,골드
C000021,김수건,남,66,충청북도,2019-03-25,실버
C000022,정원원,여,54,경기도,2022-04-02,VIP
C000023,김소윤,남,28,경상남도,2021-06-16,실버
C000024,박연건,여,56,경상북도,2023-08-19,브론즈
C000025,김성건,남,50,충청남도,2020-04-20,실버
C000026,정재예,남,58,경기도,2019-12-18,브론즈
C000027,강빈서,남,20,부산광역시,2019-07-24,실버
C000028,이민태,여,22,서울특별시,2021-05-30,브론즈
C000029,박재예,여,52,서울특별시,2021-11-19,브론즈
C000030,남유서,남,29,울산광역시,2024-06-09,브론즈
C000031,최성우,여,31,충청북도,2021-10-03,브론즈
C000032,김준율,남,38,경상남도,2020-01-06,실버
C000033,노은아,남,22,경기도,2023-02-19,실버
C000034,남원서,남,19,경기도,2019-05-13,실버
C000035,차준소,여,60,부산광역시,2021-01-16,브론즈
C000036,이예재,여,53,경기도,2022-11-13,골드
C000037,황서은,여,56,서울특별시,2020-07-02,실버
C000038,이도유,남,27,부산광역시,2022-07-08,실버
C000039,김건현,남,28,경기도,2021-09-06,브론즈
C000040,이현시,여,38,울산광역시,2024-08-19,브론즈
C000041,박우호,남,35,부산광역시,2020-09-13,골드
C000042,김도하,여,18,전북특별자치도,2024-05-12,실버
C000043,장성현,여,42,세종특별자치시,2022-09-14,브론즈
C000044,임아연,남,69,경기도,2023-06-08,브론즈
C000045,임채연,여,36,전북특별자치도,2019-12-31,브론즈
C000046,홍나서,여,39,충청남도,2019-02-11,브론즈
C000047,양율수,남,34,경기도,2023-04-29,브론즈
C000048,김현예,여,24,경기도,2021-11-04,브론즈
C000049,이아진,여,28,울산광역시,2020-10-29,실버
C000050,안빈건,남,37,서울특별시,2024-04-20,브론즈
C000051,윤우희,여,32,경기도,2020-12-06,실버
C000052,최영서,남,35,서울특별시,2021-07-26,실버
C000053,송채도,여,52,충청남도,2023-04-14,실버
C000054,김도지,여,27,울산광역시,2024-09-10,브론즈
C000055,이건은,여,18,강원특별자치도,2024-04-26,브론즈
C000056,이호원,여,19,충청남도,2022-11-11,브론즈
C000057,신나율,여,29,부산광역시,2019-08-27,브론즈
C000058,김진준,남,40,대구광역시,2019-08-25,골드
C000059,조수현,남,56,서울특별시,2023-02-06,실버
C000060,박소재,남,50,서울특별시,2022-01-05,실버
C000061,권수하,여,43,울산광역시,2019-10-15,골드
C000062,임아유,남,33,부산광역시,2023-02-12,골드
C000063,전호은,남,25,대구광역시,2024-07-29,브론즈
C000064,신우태,여,39,충청북도,2019-05-22,골드
C000065,이소재,남,34,광주광역시,2023-11-20,실버
C000066,임아수,남,53,대구광역시,2021-01-14,브론즈
C000067,최다영,남,30,대구광역시,2021-05-09,실버
C000068,권예민,남,28,경기도,2023-03-30,브론즈
C000069,정원윤,여,23,서울특별시,2020-06-17,VIP
C000070,장빈영,남,24,부산광역시,2019-12-06,실버
C000071,이예채,남,50,경기도,2024-09-13,브론즈
C000072,서은율,여,18,경기도,2021-01-22,브론즈
C000073,권준영,여,19,전라남도,2020-01-02,브론즈
C000074,문유도,여,29,경기도,2023-01-30,브론즈
C000075,정수다,여,53,서울특별시,2020-04-13,실버
C000076,배서재,여,35,경기도,2023-08-03,브론즈
C000077,윤빈우,남,48,경기도,2019-06-02,골드
C000078,이시유,여,33,울산광역시,2022-01-25,골드
C000079,안재민,여,22,대구광역시,2021-05-20,브론즈
C000080,노지성,남,50,충청남도,2024-08-29,브론즈
C000081,노다서,남,29,울산광역시,2022-01-31,실버
C000082,이건아,남,18,경기도,2024-06-22,브론즈
C000083,김원도,여,42,전북특별자치도,2020-06-21,브론즈
C000084,김태다,여,21,서울특별시,2021-10-20,브론즈
C000085,이나빈,여,27,서울특별시,2023-10-25,브론즈
C000086,김윤성,남,53,서울특별시,2019-12-13,골드
